timestamp,wind_speed,wind_direction,rpm,voltage,current,power,temperature,vibration,status
2026-06-01 02:10:15.327980,7.92,257,118.8,231.9,4.23,248.4,32.1,0.46,Running
2026-06-01 02:10:16.334408,8.62,301,129.3,232.38,1.96,320.25,27.39,0.59,Running
2026-06-01 02:10:17.338376,4.68,211,70.2,223.92,3.95,51.25,47.51,0.16,Running
2026-06-01 02:10:18.342279,8.49,338,127.35,228.55,9.62,305.98,42.97,2.45,Running
2026-06-01 02:10:19.346033,8.57,198,128.55,221.85,1.63,314.71,38.44,1.27,Running
2026-06-01 02:10:20.350975,5.94,226,89.1,234.82,7.16,104.79,39.46,0.62,Running
2026-06-01 02:10:21.354592,13.99,128,209.85,223.18,1.29,1369.06,26.88,0.1,Running
2026-06-01 02:10:22.358174,11.8,254,177.0,231.37,9.24,821.52,48.51,0.26,Running
2026-06-01 02:10:23.361756,13.24,311,198.6,234.8,1.0,1160.47,25.09,2.26,Running
2026-06-01 02:10:24.366733,10.39,15,155.85,222.01,1.05,560.81,38.16,1.2,Running
2026-06-01 02:10:25.370336,5.23,42,78.45,234.43,7.2,71.53,48.29,0.38,Running
2026-06-01 02:10:26.373746,8.3,84,124.5,236.91,9.77,285.89,47.6,0.48,Running
2026-06-01 02:10:27.377216,2.97,101,44.55,230.37,7.68,13.1,49.87,1.32,Running
2026-06-01 02:10:28.381757,14.62,278,219.3,235.2,4.03,1562.47,44.9,2.47,Running
2026-06-01 02:10:29.385817,13.5,279,202.5,222.69,3.62,1230.19,41.44,2.91,Running
2026-06-01 02:10:30.390347,10.5,9,157.5,223.26,2.84,578.81,36.3,1.7,Running
2026-06-01 02:10:31.394236,4.95,240,74.25,238.23,1.31,60.64,38.07,0.65,Running
2026-06-01 02:10:32.398549,6.9,74,103.5,239.35,8.81,164.25,49.51,2.16,Running
2026-06-01 02:10:33.402379,4.5,145,67.5,231.18,5.18,45.56,38.19,1.12,Running
2026-06-01 02:10:34.405896,8.49,349,127.35,232.62,1.43,305.98,25.36,2.75,Running
2026-06-01 02:10:35.409613,10.12,291,151.8,228.86,9.88,518.22,46.21,0.56,Running
2026-06-01 02:10:36.413833,3.74,190,56.1,224.23,2.67,26.16,42.1,0.74,Running
2026-06-01 02:10:37.418777,13.27,342,199.05,239.02,2.05,1168.38,47.18,1.7,Running
2026-06-01 02:10:38.422423,3.21,23,48.15,233.33,8.27,16.54,30.13,0.24,Running
2026-06-01 02:10:39.425655,8.09,212,121.35,221.17,2.5,264.74,35.95,0.39,Running
2026-06-01 02:10:40.435792,13.54,308,203.1,235.79,4.76,1241.15,41.2,2.26,Running
2026-06-01 02:10:41.440578,8.85,222,132.75,223.29,3.27,346.58,47.17,2.92,Running
2026-06-01 02:10:42.444036,5.98,7,89.7,238.51,5.46,106.92,41.57,0.43,Running
2026-06-01 02:10:43.449312,13.55,219,203.25,227.53,9.88,1243.91,43.3,1.6,Running
2026-06-01 02:10:44.452402,10.02,256,150.3,233.63,1.56,503.01,31.33,0.42,Running
2026-06-01 02:10:45.456254,3.59,345,53.85,225.93,8.71,23.13,33.42,0.89,Running
2026-06-01 02:10:46.465833,8.25,141,123.75,225.29,1.87,280.76,32.4,1.81,Running
2026-06-01 02:10:47.473494,6.03,33,90.45,222.76,1.53,109.63,26.07,0.32,Running
2026-06-01 02:10:48.479175,13.34,262,200.1,225.32,8.73,1186.96,48.18,0.96,Running
2026-06-01 02:10:49.482786,14.0,199,210.0,236.8,4.16,1372.0,49.36,2.14,Running
2026-06-01 02:10:50.487752,7.49,245,112.35,226.41,3.19,210.09,32.51,2.95,Running
2026-06-01 02:10:51.500371,12.4,332,186.0,229.27,1.24,953.31,25.72,1.9,Running
2026-06-01 02:10:52.510953,10.14,289,152.1,229.77,6.53,521.3,28.56,1.28,Running
2026-06-01 02:10:53.516416,3.23,15,48.45,224.15,8.89,16.85,36.83,2.12,Running
2026-06-01 02:10:54.522421,4.0,152,60.0,230.16,9.61,32.0,33.3,2.93,Running
2026-06-01 02:10:55.534682,5.77,75,86.55,239.93,1.13,96.05,40.57,0.96,Running
2026-06-01 02:10:56.544271,7.53,276,112.95,227.75,1.06,213.48,48.35,0.67,Running
2026-06-01 02:10:57.556630,12.9,268,193.5,238.77,7.73,1073.34,40.57,0.64,Running
2026-06-01 02:10:58.566232,7.01,175,105.15,226.83,3.98,172.24,30.04,2.15,Running
2026-06-01 02:10:59.575617,2.16,329,32.4,228.55,9.78,5.04,27.28,2.3,Running
2026-06-01 02:11:00.580867,5.5,58,82.5,235.77,1.89,83.19,31.45,1.84,Running
2026-06-01 02:11:01.589696,5.24,190,78.6,229.42,5.89,71.94,46.34,2.22,Running
2026-06-01 02:11:02.600255,10.42,291,156.3,238.75,8.99,565.68,43.77,2.37,Running
2026-06-01 02:11:03.613727,3.63,48,54.45,236.74,6.51,23.92,40.25,2.39,Running
2026-06-01 02:11:04.622483,3.81,270,57.15,238.68,7.93,27.65,25.08,0.92,Running
